BIO2044E,Vi sinh vật học ứng dụng,3,BIO2044E QTSH,6,9_11,123T1
BIO2045,Tiếng Anh chuyên ngành Sinh học ,2,BIO2045 1,5,4_5,211_T5
BIO2045,Tiếng Anh chuyên ngành Sinh học ,2,BIO2045 2,2,1_2,211_T5
BIO2045E,Tiếng Anh chuyên ngành Sinh học,2,BIO2045E TNSH,4,6_7,211_T5
BIO2058,Sinh học tế bào ,3,BIO2058 1 KTKTSH,4,9_10,432T1
BIO2058,Sinh học tế bào ,3,BIO2058 1_2_3 KTKTSH,3,4_5,102_T5
BIO2058,Sinh học tế bào,3,BIO2058 2 KTKTSH,4,11_12,432T1
BIO2058,Sinh học tế bào ,3,BIO2058 3 KTKTSH,5,1_2,432T1
BIO2058,Sinh học tế bào ,3,BIO2058 4 KTKTSH,5,4_5,432T1
BIO2058,Sinh học tế bào ,3,BIO2058 4_5_6 KTKTSH,4,4_5,102_T5
BIO2058,Sinh học tế bào ,3,BIO2058 5 KTKTSH,5,6_7,432T1
BIO2058,Sinh học tế bào,3,BIO2058 6 KTKTSH,5,11_12,432T1
BIO2090,Nhập môn công nghệ sinh học,3,BIO2090,5,6_8,206_T5
BIO2092,Nguyên tắc phân loại sinh vật ,3,BIO2092,6,3_5,206_T5
BIO2100E,Phương pháp luận trong nghiên cứu khoa học sự sống,3,BIO2100E QTSH,4,3_5,301_T5
BIO2127,Phương pháp luận trong nghiên cứu khoa học sự sống,3,BIO2127 TNSH,2,3_5,301_T5
BIO2201,Sinh học phân tử ,3,BIO2201,4,1_2,301_T5
BIO2201,Sinh học phân tử ,3,BIO2201,6,1_2,124T1
BIO2202,Hóa sinh học,3,BIO2202 1,5,6_7,TH1
BIO2202,Hóa sinh học,3,BIO2202 1_2,2,4_5,103_T5
BIO2202,Hóa sinh học,3,BIO2202 2,5,9_10,TH1
BIO2202,Hóa sinh học,3,BIO2202 3,5,4_5,TH1
BIO2202,Hóa sinh học,3,BIO2202 3_4,3,9_10,103_T5
BIO2202,Hóa sinh học,3,BIO2202 4,5,1_2,TH1
BIO2203,Di truyền học ,3,BIO2203 1,3,6_7,236T1
BIO2203,Di truyền học ,3,BIO2203 1_2_3_4,3,1_2,303_T4
