MAT2404,Gi?i tích s?,4,MAT2404,2,1_3,108-T5
MAT2404,Gi?i tích s?,4,MAT2404,6,4_5,204-T4
MAT3504,Thi?t k? và ?ánh giá thu?t toán,3,MAT3504 1_2_3,3,1_2,302-T4
MAT3504,Thi?t k? và ?ánh giá thu?t toán,3,MAT3504 1,3,3_5,PM
MAT3504,Thi?t k? và ?ánh giá thu?t toán,3,MAT3504 2,3,3_5,PM
MAT3504,Thi?t k? và ?ánh giá thu?t toán,3,MAT3504 3,3,3_5,PM
MAT3452,Phân tích th?ng kê nhi?u chi?u,3,MAT3452 1_2,2,4_5,201-T5
MAT3452,Phân tích th?ng kê nhi?u chi?u,3,MAT3452 1,6,8_10,PM
MAT3452,Phân tích th?ng kê nhi?u chi?u,3,MAT3452 2,6,8_10,PM
MAT3525,Th?c hành tính toán,2,MAT3525,5,3_5,201-T5
MAT3533,H?c máy,3,MAT3533 5_6_7,4,4_5,203-T5
MAT3533,H?c máy,3,MAT3533 5,5,6_10,PM
MAT3533,H?c máy,3,MAT3533 6,5,6_10,PM
MAT3533,H?c máy,3,MAT3533 7,5,6_10,PM
